candidate_type,name,w_e20,w_e21,rule_description,n,roc_auc,pr_auc,accuracy,precision,recall,f1,fpr,fnr,tp,tn,fp,fn
linear_combination,1.0_E20 + 0.0_E21 (E20 only),1.0,0.0,p_ens = 1.0*p_e20 + 0.0*p_e21; predict AI if p_ens >= 0.50,812,0.6558761435608726,0.6697594096521757,0.5652709359605911,0.7264957264957265,0.20935960591133004,0.3250478011472275,0.07881773399014778,0.7906403940886699,85,374,32,321
linear_combination,0.0_E20 + 1.0_E21 (E21 only),0.0,1.0,p_ens = 0.0*p_e20 + 1.0*p_e21; predict AI if p_ens >= 0.50,812,0.9529138052367201,0.9499300145806623,0.8817733990147784,0.8414096916299559,0.9408866995073891,0.8883720930232558,0.17733990147783252,0.059113300492610835,382,334,72,24
linear_combination,0.9_E20 + 0.1_E21,0.9,0.1,p_ens = 0.9*p_e20 + 0.1*p_e21; predict AI if p_ens >= 0.50,812,0.7747731078162537,0.7401120689340075,0.5812807881773399,0.7704918032786885,0.2315270935960591,0.356060606060606,0.06896551724137931,0.7684729064039408,94,378,28,312
linear_combination,0.8_E20 + 0.2_E21,0.8,0.2,p_ens = 0.8*p_e20 + 0.2*p_e21; predict AI if p_ens >= 0.50,812,0.8204184765463854,0.7817026107590859,0.5948275862068966,0.7894736842105263,0.25862068965517243,0.38961038961038963,0.06896551724137931,0.7413793103448276,105,378,28,301
linear_combination,0.7_E20 + 0.3_E21,0.7,0.3,p_ens = 0.7*p_e20 + 0.3*p_e21; predict AI if p_ens >= 0.50,812,0.8530387779368584,0.8162253974408451,0.6059113300492611,0.7905405405405406,0.2881773399014778,0.4223826714801444,0.07635467980295567,0.7118226600985221,117,375,31,289
linear_combination,0.6_E20 + 0.4_E21,0.6,0.4,p_ens = 0.6*p_e20 + 0.4*p_e21; predict AI if p_ens >= 0.50,812,0.8799048751486326,0.8457208211404792,0.6391625615763546,0.8087431693989071,0.3645320197044335,0.5025466893039049,0.08620689655172414,0.6354679802955665,148,371,35,258
linear_combination,0.5_E20 + 0.5_E21,0.5,0.5,p_ens = 0.5*p_e20 + 0.5*p_e21; predict AI if p_ens >= 0.50,812,0.8963606251061661,0.868171042318447,0.7438423645320197,0.8367346938775511,0.6059113300492611,0.702857142857143,0.11822660098522167,0.39408866995073893,246,358,48,160
linear_combination,0.4_E20 + 0.6_E21,0.4,0.6,p_ens = 0.4*p_e20 + 0.6*p_e21; predict AI if p_ens >= 0.50,812,0.9148062316484263,0.8936649100301343,0.8423645320197044,0.851010101010101,0.8300492610837439,0.8403990024937655,0.14532019704433496,0.16995073891625614,337,347,59,69
linear_combination,0.3_E20 + 0.7_E21,0.3,0.7,p_ens = 0.3*p_e20 + 0.7*p_e21; predict AI if p_ens >= 0.50,812,0.9284682957606348,0.9131680727934909,0.8682266009852216,0.8534278959810875,0.8891625615763546,0.870928829915561,0.15270935960591134,0.11083743842364532,361,344,62,45
linear_combination,0.2_E20 + 0.8_E21,0.2,0.8,p_ens = 0.2*p_e20 + 0.8*p_e21; predict AI if p_ens >= 0.50,812,0.9404468684025334,0.9337407110909387,0.8780788177339901,0.8545034642032333,0.9113300492610837,0.8820023837902266,0.15517241379310345,0.08866995073891626,370,343,63,36
linear_combination,0.1_E20 + 0.9_E21,0.1,0.9,p_ens = 0.1*p_e20 + 0.9*p_e21; predict AI if p_ens >= 0.50,812,0.9497925210512267,0.9478656898243409,0.8891625615763546,0.8558558558558559,0.9359605911330049,0.8941176470588236,0.15763546798029557,0.06403940886699508,380,342,64,26
gated_rule,Gate_A,,,"If E20 >= 0.50 OR E21 >= 0.70 -> AI, else Real",812,0.9305127520687229,0.9092071209379031,0.8706896551724138,0.8574821852731591,0.8891625615763546,0.8730350665054414,0.1477832512315271,0.11083743842364532,361,346,60,45
gated_rule,Gate_B,,,"If E20 >= 0.50 AND E21 >= 0.30 -> AI, else Real",812,0.7156203741901042,0.718308201981034,0.5714285714285714,0.7735849056603774,0.2019704433497537,0.3203125,0.059113300492610835,0.7980295566502463,82,382,24,324
gated_rule,Gate_C,,,"If E20 >= 0.50 OR (E21 >= 0.70 AND E20 >= 0.20) -> AI, else Real",812,0.6654098619233663,0.6841227383845649,0.6317733990147784,0.786096256684492,0.3620689655172414,0.4957841483979764,0.09852216748768473,0.6379310344827587,147,366,40,259
gated_rule,Gate_D,,,"If E21 >= 0.50 AND E20 >= 0.20 -> AI, else Real",812,0.8953656968138028,0.87926229104376,0.6342364532019704,0.7883597883597884,0.3669950738916256,0.5008403361344538,0.09852216748768473,0.6330049261083743,149,366,40,257
